Gr. Nr.,Ebene,Gruppierung,Domain
07/13/02,Stamm,"Mosbach, Bernhard von Baden",dpsg-mosbach.de
07/13/03,Stamm,"Don Bosco, Neckarelz-Diedesheim",dpsg-neckarelz-diedesheim.de
07/13/05,Stamm,"Adelsheim, Stephanus",-
07/13/06,Stamm,"Haßmersheim, St. Benedikt",dpsg-hassmersheim.de
07/13/08,Stamm,"Mosbach-Waldstadt, Maximilian Kolbe",dpsg-mosbach-waldstadt.de
07/14/00,Bezirk,"Bezirk Emmendingen",bezirk-emmendingen.de
07/14/01,Stamm,"Emmendingen, Markgraf Bernhard von Baden",dpsg-em1.de
07/14/02,Stamm,"Waldkirch, Konrad von Schwarzenberg",dpsg-waldkirch.de
07/14/03,Stamm,"Gutach, St. Michael",-
07/14/04,Stamm,"Emmendingen, Petter Moen",-
07/14/05,Stamm,"Endingen, St. Franziskus",pfadfinder-endingen.org
07/14/06,Stamm,"Glottertal",-
07/15/00,Bezirk,"Bezirk Breisgau",bezirk-breisgau.de
07/15/01,Stamm,"Freiburg-Littenweiler, Berthold II. von Zähringen",pfadfinder-littenweiler.de
07/15/02,Stamm,"Freiburg, Tilly",dpsg-tilly.de
07/15/03,Stamm,"Gundelfingen, Rochus Spiecker",dpsg-gundelfingen.de
07/15/06,Stamm,"Freiburg-Mitte, Guy de Larigaudie",pfadfinder-freiburg.de
07/15/07,Stamm,"Freiburg-Weing., Albino Luciani",albino-luciani.de
07/15/08,Stamm,"Kirchzarten, St. Exupery",pfadfinder-kirchzarten.de
07/15/09,Stamm,"Freiburg-Opfingen, St. Nikolaus",pfadfinder-opfingen.de
07/15/13,Stamm,"Freiburg, St. Albert",pfadfinder-stalbert.de
07/15/14,Stamm,"Breisach, Graf Bernadotte",dpsg-breisach.de
07/15/15,Stamm,"Bad Krozingen, David",badkrozingenpfadfinder.de
07/15/16,Stamm,"Staufen, St. Martin",staufen-pfadfinder.de
07/15/18,Stamm,"Freiburg-Vauban, Kassiopeia",pfadfinder-vauban.de
07/15/19,Stamm,"Freiburg-St. Georgen, Betty Clay",-
07/15/20,Stamm,"Fridtjof Nansen, Titisee-Neustadt",pfadfinder-titisee-neustadt.de
08/00/00,Diözese,"Diözesanverband Fulda",dpsg-fulda.de
08/11/02,Stamm,"Kassel-Vellmar, Folke Bernadotte",dpsg-vellmar.de
08/11/03,Stamm,"Hünfeld, St. Jakobus",dpsg-huenfeld.de
08/11/04,Stamm,"Marburg, St. Michael",dpsg-marburg.de
08/11/05,Stamm,"Witzenhausen, Witta",dpsg-witzenhausen.de
08/11/06,Stamm,"Fulda-Neuenberg, St. Andreas",dpsg-neuenberg.de
08/11/09,Stamm,"Melsungen, Mariä Himmelfahrt",-
08/11/14,Stamm,"Fulda-Johannesberg, Mirjam",-
08/11/19,Siedlung,"Kaufungen",dpsg-kaufungen.de
08/14/01,Stamm,"Bad Orb, St. Martin",pfadfinder-bad-orb.de
08/14/03,Stamm,"Bad Soden-Salmünster-Ahl, Hl. Kreuz",-
08/14/04,Stamm,"Stamm Shalom Bruchköbel",dpsg-shalom.de
08/14/06,Stamm,"Maintal, Südwind",dpsg-suedwind.de
08/14/07,Stamm,"Grossauheim, St. Paul",pfadfinder-grossauheim.de
08/14/08,Stamm,"Nidderau-Windecken, Wartbaum",wartbaum.de
08/14/09,Stamm,"Rodenbach, Barbarossa",dpsg-rodenbach.de
08/14/10,Stamm,"Wächtersbach, St. Bonifatius",stamm-bonifatius.de
08/14/12,Stamm,"Biebergemünd-Wirtheim, St. Jakobus",pfadfinder-wirtheim.de
08/14/13,Stamm,"Niederdorfelden",dpsg-niederdorfelden.de
09/00/00,Diözese,"Diözesanverband Hildesheim",dpsg-hildesheim.de
09/01/00,Bezirk,"Bezirk Ludwig",-
09/01/01,Stamm,"Harsum, St. Caecilia",-
09/01/02,Stamm,"Elze, St. Petrus",-
09/01/04,Stamm,"Hildesheim-Drispenst., Impeesa",-
09/01/05,Stamm,"Diekholzen, St. Jakobus",dpsg-diekholzen.de
09/01/06,Stamm,"Peine, Giovanni Don Bosco",dpsg-peine.org
09/01/09,Stamm,"Emmerke, St. Martinus",-
09/02/00,Bezirk,"Bezirk Harz",-
09/02/01,Stamm,"Duderstadt, St. Cyriakus",dpsg-duderstadt.de
09/02/04,Stamm,"Seesen-Harz, Maria Königin",-
09/02/05,Stamm,"Herzberg, Sankt Josef",dpsg-herzberg.com
09/02/06,Stamm,"Göttingen",dpsg-goettingen.de
09/02/07,Stamm,"Northeim, St. Marien",dpsg-nom.de
09/02/08,Stamm,"Gieboldehausen, St. Laurentius",dpsg-gieboldehausen.de
09/03/00,Bezirk,"Bezirk Elm",-
09/03/02,Stamm,"Celle, St. Ludwig",dpsg-celle.org
09/03/04,Stamm,"Helmstedt, St. Ludgeri",dpsg-helmstedt.de
09/03/09,Stamm,"Wendeburg-Vechelde, Pastor Theo Derks",-
09/03/10,Stamm,"Braunschweig, Martin Luther King",mlk-bs.de
09/03/11,Stamm,"Gifhorn, Fred Joseph",dpsg-gifhorn.de
09/03/13,Stamm,"Veltheim, Hl. Kreuz",dpsg-veltheim.de
09/03/15,Stamm,"Braunschweig, St. Martin",-
09.04.2000,Bezirk,"Bezirk Nord",-
09/04/05,Stamm,"Seevetal-Hittfeld, Thomas Morus",dpsg-seevetal.de
09/04/15,Stamm,"Bremen, Nordlicht",dpsg-bremen.de
09/04/16,Stamm,"Buchholz, St. Petrus, Hallimasch",dpsg-hallimasch.de
09/04/18,Stamm,"Lilienthal bei Bremen, Franziskus",dpsg-lilienthal.de
09/04/19,Siedlung,"St. Paulus, Oyten",-
09/04/20,Siedlung,"Lüneburg",dpsg-lueneburg.de
09/05/00,Bezirk,"Bezirk Hannover",-
09/05/03,Stamm,"Hameln, St. Franziskus",dpsg-hameln.de
09/05/05,Stamm,"Wunstorf, St. Bonifatius",dpsg-wunstorf.de
09/05/07,Stamm,"Wedemark, Arche Noah",dpsg-wedemark.de
09/05/08,Stamm,"Neustadt, St. Peter & Paul",dpsg-neustadt.de
09/05/10,Stamm,"Hannover-Kirchrode, Hl. Engel",dpsg-hannover.de
09/05/11,Stamm,"Lehrte, Maximilian Kolbe",dpsg-lehrte.de
09/05/15,Stamm,"Hannover-Mühlenberg, St. Maximilian Kolbe",pfadfinder-muehlenberg.de
10/00/00,Diözese,"Diözesanverband Köln",dpsg-koeln.de
10/01/00,Bezirk,"Bezirk Bergisch Land",dpsgbergischland.de
10/01/01,Stamm,"Solingen-Ohligs, von Berg",stamm-von-berg.de
10/01/02,Stamm,"Wuppertal, Gallier",stamm-gallier.de
10/01/03,Stamm,"Solingen-Weeg,Sugambrer",pfadfinder-weeg.de
10/01/04,Stamm,"Solingen, Gravenrode",-
10/01/05,Stamm,"Solingen-Wald, Silva",stamm-silva.de
10/01/06,Stamm,"Remscheid-Lennep",dpsg-lennep.de
10/01/08,Stamm,"Solingen-Löhdorf, Tenkterer",stamm-tenkterer.de
10/01/09,Stamm,"Solingen-Mangenberg, Gandalf",stammgandalf.de
10/03/00,Bezirk,"Bezirk Düsseldorf",dpsg-duesseldorf.de
10/03/01,Stamm,"Langenfeld, Castanea",stamm-castanea.de
10/03/02,Stamm,"Hochdahl, Franz v. Assisi",dpsg-hochdahl.de
10/03/03,Stamm,"Düsseldorf, Lörick",stammloerick.de
10/03/04,Stamm,"Düsseldorf-Gerresheim, Gerrich Margar",gerrich.de
10/03/06,Stamm,"Düsseldorf-Vennhausen",dpsg-vennhausen.de
10/03/07,Stamm,"Langenfeld-Richr., St. Martin",-
10/03/08,Stamm,"Düsseldorf-Bilk, Hohenstaufen",dpsg-hohenstaufen-bilk.de
10/03/12,Stamm,"Düsseldorf-Unterrath, St. Bruno",brunopfadis.de
10/03/16,Stamm,"Düsseldorf-Bilk, Winfried",stamm-winfried.de
10/03/19,Stamm,"Erkrath",dpsg-erkrath.de
10/04/00,Bezirk,"Bezirk Erft",dpsg-erft.de
10/04/01,Stamm,"Horrem, von Merode",dpsghorrem.de
10/04/02,Stamm,"Pulheim, Sankt Barbara",dpsg-pulheim.de
10/04/04,Stamm,"Brühl, Kurfürst",stamm-kurfuerst.de
10/04/05,Stamm,"Reuschenberg Elsdorf",dpsg-elsdorf.de
10/04/06,Stamm,"Königsdorf, Hildebold",dpsg-koenigsdorf.de
10/04/07,Stamm,"Pulheim-Brauweiler, Bernhard von Clairvaux",dpsg-brauweiler.de
10/04/08,Stamm,"Neubottenbroich, Glückauf",neubottenbroich.de
10/04/10,Stamm,"Sinnersdorf, Maximilian Kolbe",dpsg-sinnersdorf.de
10/04/12,Stamm,"Kerpen-Mödrath, St. Quirinus",dpsg-moedrath.de
10/04/13,Stamm,"Erftstadt-Liblar, St. Barbara, Las Casas",dpsg-liblar.de
10/04/16,Stamm,"Eisvögel",dpsg-kaster.de
10/05/00,Bezirk,"Bezirk Köln Linksrheinisch",dpsg-bezirk-koeln.de
10/05/01,Stamm,"Rochus Spiecker Brühl - Schwadorf",rochus-spiecker.de
10/05/03,Stamm,"Köln-Worringen, Gilwell",stamm-gilwell.de
10/05/04,Stamm,"Köln-Sülz, Edith Stein",pfadfinder-suelz.de
10/05/06,Stamm,"Köln-Kriel, Helder Camara",helder-camara.de
10/05/08,Stamm,"Stamm St. Walburga, Bornheim-Walberberg",dpsg-walberberg.de
10/05/09,Stamm,"Köln-Blumenberg, St. Katharina von Siena",-
10/05/10,Stamm,"Bornheim-Hersel+Widdig, St. Franziskus",-
10/05/11,Stamm,"DPSG Stamm Rumenthorp",pfadfinder-rondorf.com
10/05/12,Stamm,"Köln-Ehrenfeld, Helios",pfadfinder-ehrenfeld.de
10/05/13,Stamm,"Philipp Neri",dpsg-philippneri.de
10/05/18,Stamm,"Köln-Heimersdorf, St. Markus",stamm-st-markus.de
10/05/19,Stamm,"Köln-Junkersdorf / Müngersdorf, St.Pankr.",pfadfinder-junkersdorf.de
10/06/00,Bezirk,"Bezirk Rhein - Erft",-
10/06/02,Stamm,"Neuss, Malteser",-
10/06/03,Stamm,"Dormagen-Delrath, Greifen",stamm-greifen.de
10/06/04,Stamm,"Grevenbroich-Gustorf, Deutschritter",dpsg-gustorf.de
10/06/05,Siedlung,"Rommerskirchen",pfadfinder-rommerskirchen.de
10/06/06,Stamm,"Grevenbroich, St. Josef",dpsg-grevenbroich.de
10/06/09,Stamm,"Neuss-Weckhoven, Alfred Delp",dpsg-neuss.de
10/06/11,Siedlung,"Phönix Neuss-Süd",phoenix-dpsg-neuss.de
10/07/00,Bezirk,"Bezirk Niederberg",dpsg-niederberg.de
10/07/01,Stamm,"Ratingen - West, Kizito",dpsg-kizito.de
10/07/02,Stamm,"Velbert-Neviges, Hardenberg",dpsg-hardenberg.org
10/07/03,Stamm,"Heiligenhaus",pfadfinder-heiligenhaus.de
10/07/04,Stamm,"Mettmann",dpsg-mettmann.de
10/07/05,Stamm,"Wülfrath, Franken",dpsg-wuelfrath.de
10/07/06,Stamm,"Lintorf",dpsg-lintorf.de
10/07/07,Stamm,"Velbert, Johannes Bosco",stamm-johannes-bosco.de
10/07/10,Stamm,"Essen-Kettwig, Kattwiga",dpsg-kattwiga.de
10/09/00,Bezirk,"Bezirk Sieg",dpsg-sieg.de
10/09/01,Stamm,"Siegburg, St. Anno",dpsg-st-anno.de
10/09/02,Stamm,"Siegburg - Kaldauen, eXodus",dpsg-kaldauen.de
10/09/05,Stamm,"Lohmar, St. Johannes",dpsg-lohmar.de
10/09/06,Stamm,"Niederkassel, Roncalli",stamm-roncalli.de
10/09/12,Stamm,"St. Augustin-Menden",-
10/09/20,Stamm,"Lohmar, Ichtys-Neuhonrath",dpsgneuhonrath.de
10/09/21,Stamm,"Gummersbach, St. Felizitas",dpsg-gummersbach.de
10/10/00,Bezirk,"Bezirk Voreifel",-
10/10/01,Stamm,"Euskirchen, Kreuzritter",dpsg-eu.eu
10/10/03,Stamm,"Rheinbach, Antoine de Saint-Exupery",kallenturm.de
10/10/04,Stamm,"Meckenheim, Swabidua",swabidua.de
10/10/05,Stamm,"Euskirchen-Euenheim, 'Carpe diem'",pfadfinder-euenheim.de
10/10/07,Stamm,"Zülpich, St. Quirinus",-
10/10/08,Stamm,"Euskirchen-Stotzheim, St. Hubertus",dpsg-stotzheim.de
10/12/00,Bezirk,"Bezirk Bonn",dpsg-bonn.de
10/12/01,Stamm,"Bonn-Hardtberg, St.Rochus",duisdorf.dpsg-bonn.de
10/12/02,Stamm,"Bonn-Bad Godesb., Graf Galen",dpsg-badgodesberg.de
10/12/03,Stamm,"Bonn-Stadtmitte, Phönix",-
10/12/04,Stamm,"Bonn-Beuel, Sugambrer",stamm-sugambrer.de
10/13/00,Bezirk,"Bezirk Siebengebirge",dpsg-siebengebirge.de
10/13/01,Stamm,"Königswinter, Heisterbacherrott",
10/13/02,Stamm,"Sugambrer Hennef-Warth",sugambrer.de
10/13/03,Stamm,"Königswinter-Ittenbach, Idubag",dpsg-ittenbach.de
10/13/04,Stamm,"Ruppichterroth",-
10/13/05,Stamm,"Winterscheid",dpsg-winterscheid.de
10/13/06,Stamm,"Stamm Isenburg, Schürdt-Oberlahr",dpsg-isenburg.de
10/13/07,Stamm,"Rheinbreitbach, Terra Nova",-
10/13/08,Stamm,"Königswinter-Stieldorf, Romero",stamm-romero.de
10/13/09,Stamm,"Königswinter-Oberpleis",dpsgoberpleis.de
10/13/10,Stamm,"Neunk.-Seelscheid, Edelweiss",pfadfinder-seelscheid.de
